c NAME : xqf131
c COMMENT : Bonn VLSI data set with 131 points
c COMMENT : Uni Bonn, Research Institute for Discrete Math
c COMMENT : Contributed by Andre Rohe
c TYPE : TSP
c DIMENSION : 131
c EDGE_WEIGHT_TYPE : EUC_2D
c NODE_COORD_SECTION
p 131
v 1 0 13
v 2 0 26
v 3 0 27
v 4 0 39
v 5 2 0
v 6 5 13
v 7 5 19
v 8 5 25
v 9 5 31
v 10 5 37
v 11 5 43
v 12 5 8
v 13 8 0
v 14 9 10
v 15 10 10
v 16 11 10
v 17 12 10
v 18 12 5
v 19 15 13
v 20 15 19
v 21 15 25
v 22 15 31
v 23 15 37
v 24 15 43
v 25 15 8
v 26 18 11
v 27 18 13
v 28 18 15
v 29 18 17
v 30 18 19
v 31 18 21
v 32 18 23
v 33 18 25
v 34 18 27
v 35 18 29
v 36 18 31
v 37 18 33
v 38 18 35
v 39 18 37
v 40 18 39
v 41 18 41
v 42 18 42
v 43 18 44
v 44 18 45
v 45 25 11
v 46 25 15
v 47 25 22
v 48 25 23
v 49 25 24
v 50 25 26
v 51 25 28
v 52 25 29
v 53 25 9
v 54 28 16
v 55 28 20
v 56 28 28
v 57 28 30
v 58 28 34
v 59 28 40
v 60 28 43
v 61 28 47
v 62 32 26
v 63 32 31
v 64 33 15
v 65 33 26
v 66 33 29
v 67 33 31
v 68 34 15
v 69 34 26
v 70 34 29
v 71 34 31
v 72 34 38
v 73 34 41
v 74 34 5
v 75 35 17
v 76 35 31
v 77 38 16
v 78 38 20
v 79 38 30
v 80 38 34
v 81 40 22
v 82 41 23
v 83 41 32
v 84 41 34
v 85 41 35
v 86 41 36
v 87 48 22
v 88 48 27
v 89 48 6
v 90 51 45
v 91 51 47
v 92 56 25
v 93 57 12
v 94 57 25
v 95 57 44
v 96 61 45
v 97 61 47
v 98 63 6
v 99 64 22
v 100 71 11
v 101 71 13
v 102 71 16
v 103 71 45
v 104 71 47
v 105 74 12
v 106 74 16
v 107 74 20
v 108 74 24
v 109 74 29
v 110 74 35
v 111 74 39
v 112 74 6
v 113 77 21
v 114 78 10
v 115 78 32
v 116 78 35
v 117 78 39
v 118 79 10
v 119 79 33
v 120 79 37
v 121 80 10
v 122 80 41
v 123 80 5
v 124 81 17
v 125 84 20
v 126 84 24
v 127 84 29
v 128 84 34
v 129 84 38
v 130 84 6
v 131 107 27
q 1
